Facultad / Departamento;;Hombres;Mujeres;Total
Administración;;60;27;87
Arquitectura;;38;21;59
Diseño;;22;28;50
Decanatura Facultad;;;;
Arte;;15;19;34
Historia del Arte;;;1;1
Humanidades y literatura;;5;5;10
Música;;34;10;44
CEPER;;4;4;8
Decanatura Facultad;;7;4;11
Ciencias Biológicas;;7;3;10
Física;;15;3;18
Geociencias;;4;4;8
Matemáticas;;19;5;24
Química;;3;1;4
Decanatura Facultad;;;;
Antropología;;3;1;4
Ciencia Política;;1;;1
Filosofía;;1;;1
Historia y Geografía*;;;;
Lenguas y Cultura;;41;49;90
Psicología;;7;37;44
Decanatura Facultad;;2;;2
CIDER;;2;1;3
Derecho;;53;33;86
Economía;;72;32;104
Educación;;;;
Escuela de Gobierno;;14;9;23
Ing. Biomédica;;3;1;4
Ing. Civil y Ambiental;;16;3;19
Ing. Eléctrica y Electrónica;;2;;2
Ing. Industrial;;20;9;29
Ing. Mecánica;;6;;6
Ing. Química y Alimentos**;;2;1;3
Ing. Sistemas;;38;6;44
Decanatura Facultad;;1;1;2
Medicina;;144;96;240
Otras unidades;;1;2;3
